feature1,feature2,feature3,target
37.454011884736246,1.5714592843367126,2,1
95.07143064099162,31.82052056318902,0,0
73.1993941811405,15.717799053816334,1,1
59.86584841970366,25.42853455823514,1,0
15.601864044243651,45.37832369630465,2,1
15.599452033620265,12.464611457443747,1,0
5.8083612168199465,20.519146151781488,0,1
86.61761457749351,37.77755692715243,2,1
60.11150117432088,11.439908274581123,0,0
70.80725777960456,3.8489954914396494,0,0
2.0584494295802447,14.4875726456884,1,1
96.99098521619943,8.061064362700222,1,0
83.24426408004217,46.484882617128655,1,1
21.233911067827616,40.40601897822085,1,0
18.182496720710063,31.67018782552117,1,1
18.34045098534338,43.57302950938588,2,1
30.42422429595377,40.18360384495573,0,1
52.475643163223786,9.328502944301793,0,1
43.194501864211574,44.627949924498886,0,1
29.122914019804192,26.967112095782536,0,1
61.18528947223795,40.372007758203125,1,0
13.949386065204184,44.80456499617466,0,0
29.214464853521815,15.900173748593193,2,0
36.63618432936917,5.502596226383838,2,1
45.606998421703594,11.396758127097083,0,1
78.51759613930136,21.355389431312815,0,1
19.967378215835975,40.90073829612466,2,1
51.42344384136116,43.036529162817175,2,0
59.24145688620425,0.34760652655953517,1,0
4.645041271999773,25.537365128878285,2,1
60.75448519014384,20.87055015743895,1,0
17.052412368729154,11.105390523536512,1,0
6.505159298527952,5.99326836668414,1,1
94.88855372533332,16.8807585701814,1,0
96.56320330745594,47.14548519562596,1,1
80.83973481164611,16.160146601037763,0,0
30.46137691733707,25.939531087168305,2,1
9.767211400638388,35.15094794475889,1,1
68.42330265121569,18.1814801189647,2,1
44.01524937396013,48.589104136048036,2,1
12.203823484477883,48.122364747105564,1,0
49.51769101112702,12.589114791268209,0,1
3.4388521115218396,24.86242529461927,1,1
90.9320402078782,15.043915490838483,0,1
25.87799816000169,14.242024718873381,2,0
66.2522284353982,1.8443473677266398,0,1
31.171107608941096,30.478216698994842,0,0
52.00680211778108,25.133951161443076,0,1
54.67102793432797,2.5739375624994674,2,0
18.485445552552704,13.932323211830571,2,0
96.95846277645586,45.41329429833269,0,1
77.51328233611146,11.97809453334862,0,0
93.9498941564189,7.244743604561155,1,1
89.48273504276489,24.47263801387815,0,1
59.78999788110851,49.282522705530035,1,1
92.18742350231169,12.10276357557502,0,0
8.84925020519195,33.606777370293926,1,0
19.59828624191452,38.08098076643588,2,1
4.522728891053807,11.881877199619984,0,1
32.53303307632643,36.41081743059298,0,0
38.8677289689482,18.38915663596266,0,1
27.134903177389592,31.615291529678974,0,1
82.87375091519293,31.676485538044734,1,1
35.67533266935893,26.788734203737924,0,0
28.093450968738075,4.514488502720415,2,0
54.26960831582485,41.7651247794619,2,0
14.092422497476264,16.03900324858679,0,1
80.21969807540397,9.325925519992712,2,1
7.455064367977082,2.038757077738196,0,1
98.68869366005173,29.54464715941209,0,0
77.22447692966574,33.87821809211412,2,1
19.87156815341724,0.8293914463928076,0,1
0.5522117123602399,25.60465291496405,2,1
81.54614284548342,11.324788759896897,1,1
70.68573438476172,32.25863952047249,0,0
72.90071680409874,8.718321450249572,1,0
77.12703466859458,34.546886905123294,2,1
7.4044651734090365,19.33676731502687,1,0
35.84657285442726,46.836499436836725,1,0
11.586905952512971,6.876047207299663,2,1
86.31034258755935,17.053317552512926,1,1
62.329812682755794,5.673676062029454,1,0
33.08980248526492,46.23468091392814,2,1
6.355835028602364,43.86696766904905,1,0
31.09823217156622,12.89708138575778,2,1
32.518332202674706,32.999202301708955,1,0
72.96061783380641,40.86111001006079,2,1
63.75574713552131,27.760040579973115,2,0
88.72127425763266,26.482528917800323,1,0
47.22149251619493,12.092614545022585,1,0
11.959424593830171,4.655138390294961,1,1
71.3244787222995,44.860787897666334,0,0
76.07850486168974,45.02090285816652,0,0
56.127719756949624,31.655072863663396,0,1
77.0967179954561,16.951489552435035,2,1
49.379559636439076,17.460478730633046,1,0
52.27328293819941,36.297783943511966,2,0
42.75410183585496,44.85551299762886,0,1
2.541912674409519,44.354321213255865,1,1
10.789142699330444,38.99377729288119,2,1
